,London,Paris,Brussels,Amsterdam,Luxembourg,Bern,Berlin,Copenhagen,Prague,Ljubljana,Vienna,Oslo,Bratislava,Madrid,Zagreb,Rome,Budapest,Warsaw,Stockholm,Sarajevo,Lisbon,Barcelona,Bergas,Bordeaux,Lille,Brest,Montpelier,Lyon,Dijon,Nice,Athens,Torino,Florence,Bologna,Palermo,Milan,Napels,Pisa,Kaunas,Bucharest,Cluj-Napoca,Iasi,Kosice,Malmo,Dubrovnick,Krakow,Zurich,Geneva,Ghent,Leuven,Frankfurt,Leipzig,Hamburg,Cologne,Munich,Nuremburg,Heidelburg,Delft,Schiphol,Utrecht,Rotterdam,Porto,Ponta Delgada,Funchal,Valencia,Granada,Dublin,Edinburgh,Glasgow
London,nan,450768.0,377069.0,587193.0,854910.0,1132883.0,1208871.0,1567768.0,1482752.0,1649765.0,1491203.0,2381844.0,1561962.0,1817381.0,1827018.0,2155231.0,1753931.0,1746885.0,2167297.0,2640674.0,2733725.0,1588639.0,nan,1019871.0,270170.0,1079674.0,nan,883872.0,741106.0,1425341.0,3900258.0,1152678.0,1728527.0,1646249.0,2474207.0,1293562.0,2135632.0,1946975.0,nan,2934160.0,2471023.0,2610535.0,2308290.0,1608793.0,2515744.0,2261476.0,1067259.0,1077678.0,428381.0,410301.0,777650.0,1324143.0,1103531.0,597954.0,1399386.0,1203674.0,1075887.0,532425.0,570692.0,573000.0,517738.0,2397537.0,nan,nan,1959522.0,2724311.0,540429.0,631618.0,645398.0
Paris,450768,nan,314973.0,525025.0,403491.0,681464.0,1226193.0,1735542.0,1395287.0,1299953.0,1310131.0,2500870.0,1394515.0,1366031.0,1478061.0,1420781.0,1586484.0,1684751.0,2105095.0,2165918.0,2892547.0,1137234.0,nan,568521.0,225544.0,628324.0,nan,427090.0,284324.0,968556.0,3737072.0,695896.0,1207773.0,1125495.0,2022788.0,845170.0,1684213.0,1212525.0,2240356,2482750.0,2019604.0,2576107.0,1859293.0,1776567.0,2166787.0,1812479.0,610477.0,620896.0,364887.0,345402.0,685061.0,1119834.0,1013277.0,535941.0,992396.0,987181.0,624468.0,469790.0,508533.0,511219.0,455103.0,2556359.0,nan,nan,1502740.0,2267529.0,1011705.0,1082682.0,1076556.0
Brussels,376992,314973,nan,213977.0,255533.0,997085.0,828446.0,1194892.0,1109799.0,1313643.0,1118314.0,2003446.0,1189073.0,1681346.0,1450052.0,1638424.0,1381042.0,1369847.0,1790332.0,2034994.0,3213532.0,1452841.0,nan,884073.0,108756.0,943865.0,nan,748074.0,605308.0,1289501.0,3741292.0,1030659.0,1355574.0,1273296.0,2338409.0,917917.0,1810847.0,1430168.0,nan,2459200.0,1823528.0,2237646.0,1815465.0,1235917.0,2138778.0,1768651.0,931450.0,845100.0,53749.0,31951.0,404361.0,773775.0,690620.0,221036.0,873537.0,626489.0,478368.0,168453.0,197476.0,210036.0,nan,2261739.0,nan,nan,1822155.0,2588439.0,937295.0,1008906.0,1084250.0
Amsterdam,587195,525025,nan,nan,469440.0,1207140.0,741583.0,1160670.0,1064918.0,1364549.0,1257842.0,1858979.0,1310286.0,1891373.0,1462250.0,1706102.0,1638433.0,1308315.0,nan,2073103.0,2780668.0,1662896.0,nan,1094128.0,318959.0,nan,nan,958129.0,815363.0,nan,3671252.0,1226936.0,1423252.0,1343844.0,2548464.0,1158967.0,1848955.0,1497846.0,nan,2392980.0,1861637.0,2348193.0,1861796.0,1201695.0,2150976.0,1814982.0,845858.0,1071237.0,229269.0,nan,448653.0,nan,521284.0,259053.0,899581.0,674251.0,516477.0,66499.0,17469.0,39533.0,69609,2444059.0,nan,nan,2032182.0,2798568.0,1154547.0,nan,1301502.0
Luxembourg,854097,402690,255528,469414,nan,486516.0,850987.0,1252519.0,1088157.0,1130473.0,1051073.0,2300186.0,1225066.0,1768820.0,1271859.0,nan,1404344.0,1518736.0,nan,1965211.0,2657760.0,1539931.0,nan,971310.0,364193.0,1032983,nan,834884.0,692118.0,1544954,2959272.0,nan,1000943.0,919360.0,1833034.0,717283.0,1478047.0,1082356.0,2074475,2258566.0,1817382.0,2267808.0,1648584.0,1293544.0,1960585.0,1601770.0,475430.0,640595.0,309272.0,253459,478841.0,748915,839506.0,369907.0,791689.0,609179.0,315964.0,414646.0,452913.0,456091.0,399959,2321151.0,nan,nan,1908847.0,2675323.0,nan,nan,1488087.0
Bern,1143802,692381,1007993,1218064,486983,nan,1001108.0,1585128.0,1129721.0,1038113.0,905218.0,2266408.0,1006239.0,2058483.0,939896.0,756654,1324644.0,1624730.0,2085253,1604746.0,2789239.0,1755394.0,nan,1191744.0,853806.0,1335787,nan,318954.0,369989.0,860654,2538937.0,397395,551578.0,462522.0,1305820.0,238652.0,1131246.0,625928.0,1967081,2009371.0,1562275.0,2044146.0,1396772.0,1626153.0,1628622.0,1346280.0,116963.0,156681.0,993313.0,973828,435528.0,808511,939038.0,598130.0,449505.0,580982.0,374934.0,1162829.0,1201572.0,819807.0,1148142,2453051.0,nan,nan,2125435.0,2376156.0,1640011,1769610,1762995.0
Berlin,1224119,1114548,772112,680825,894391,955389,nan,1023310.0,391934.0,1183526.0,1019336.0,1615377.0,1168154.0,2549136.0,1216615.0,1763321,1347463.0,555544.0,nan,1807850.0,3816361.0,2320332.0,nan,1696733.0,880827.0,1842962,nan,1595053.0,1377700.0,1513083,3515452.0,1339957,1396726.0,1307665.0,2075456.0,1439885.0,1844868.0,1555065.0,nan,2233396.0,1676411.0,2216727.0,891322.0,1064335.0,nan,631183.0,936623.0,1363197.0,825803.0,741754,513178.0,168887,285857.0,551255.0,673543.0,447266.0,600135.0,685118.0,715135.0,614430.0,726428,3480173.0,nan,nan,2595795.0,3420107.0,1709439,1808664,1856394.0
Copenhagen,1599053,1684744,1193906,1098289,1411810,1451028,784319,nan,1191253.0,1727653.0,1618927.0,779987.0,1687249.0,2960834.0,2001637.0,2234433,1879218.0,1371471.0,637034,2600303.0,4235919.0,2612892.0,nan,2344845.0,1302621.0,2314074,nan,2208419.0,1764002.0,2474417,3994623.0,1816491,1940853.0,1851792.0,2781051.0,1856892.0,2428306.0,2026177.0,nan,3032697.0,2572935.0,2735822.0,2258308.0,41025.0,2690363,nan,1438374.0,1625013.0,1247597.0,1163548,1022830.0,953884,499263.0,961936.0,1452300.0,1253975.0,1117731.0,1152310.0,1099118.0,1053475.0,1137870,3899748.0,nan,nan,3102813.0,4048858.0,2097425,nan,2244380.0
Prague,1744521,1314879,1111358,1145785,1185548,1081700,391225,1451675,nan,1030083.0,406113.0,2006547.0,398906.0,2711640.0,1009916.0,1308725,656939.0,nan,1809047,1566140.0,3931747.0,2514088.0,nan,1861734.0,1574569.0,2048979,nan,1725308.0,1279943.0,1463872,2791562.0,1504958,1562365.0,1473304.0,1839386.0,1373820.0,1770158.0,1106865.0,nan,1509506.0,921779.0,1505514.0,703188.0,1492700.0,1428950,566977,1069046.0,1297027.0,1161286.0,1077363,576760.0,333908,612942.0,825259.0,438377.0,350980.0,740156.0,1178444.0,1149703.0,1108057.0,1160742,3605687.0,nan,nan,2764902.0,3317940.0,1914290,2116384,2061245.0
Ljubljana,1788296,1336876,1303534,1343166,1131488,845849,1103586,1728438,841460,nan,428303.0,2621073.0,496642.0,2796381.0,276383.0,683725,584597.0,1128308,nan,731721.0,3587972.0,2571156.0,nan,1937969.0,1563072.0,1997772,nan,nan,1039333.0,913883,2802066.0,625623,480258.0,398856.0,1330408.0,564776.0,878503.0,526005.0,1577030,1525711.0,1085474.0,1535059.0,1089228.0,1769463.0,905978,1031896,738452.0,955348.0,1357226.0,1273176,908158.0,935377,1389344.0,1082533.0,438928.0,637655.0,859703.0,1350676.0,1343995.0,1299168.0,1336236,3251784.0,nan,nan,nan,nan,2366855,2517146,2513287.0
